sequence_num	token	bio_only	token_indices	upos	pos_indices	char_list	prediction
3	wish	O	2141.0	VERB	14.0	[24, 32, 69, 31]	O
3	im	O	516.0	X	6.0	[32, 72]	O
3	ryan	B	14801.0	ADJ	11.0	[90, 79, 26, 40]	O
3	😭	O	14801.0	SYM	10.0	[92]	O
3	😭	O	14801.0	SYM	10.0	[92]	O
3	😭	O	14801.0	SYM	10.0	[92]	O
4	THIS	O	2239.0	DET	3.0	[73, 54, 36, 25]	O
4	IS	O	1567.0	AUX	2.0	[36, 25]	O
4	SO	O	1089.0	ADV	5.0	[25, 6]	O
4	GOOD	O	9176.0	ADJ	11.0	[12, 6, 6, 77]	O
5	trump	B	14801.0	NOUN	0.0	[67, 90, 50, 72, 9]	O
5	is	O	52.0	AUX	2.0	[32, 69]	O
5	the	O	3.0	DET	3.0	[67, 31, 49]	O
5	Kremlin	O	14801.0	PROPN	9.0	[56, 90, 49, 72, 43, 32, 40]	B
5	'	O	573.0	PUNCT	8.0	[74]	O
5	s	O	5354.0	PART	15.0	[69]	O
5	boy	O	2336.0	NOUN	0.0	[22, 13, 79]	O
6	Hobby	B	14801.0	PROPN	9.0	[54, 13, 22, 22, 79]	B
6	frog	I	14801.0	VERB	14.0	[41, 90, 13, 35]	O
6	is	O	52.0	AUX	2.0	[32, 69]	O
6	a	O	74.0	DET	3.0	[26]	O
6	savege	O	14801.0	NOUN	0.0	[69, 26, 33, 49, 35, 49]	O
7	creepy	O	14801.0	ADJ	11.0	[0, 90, 49, 49, 9, 79]	O
7	AF	O	14801.0	PROPN	9.0	[21, 8]	B
7	.	O	13.0	PUNCT	8.0	[4]	O
7	lol	O	69.0	INTJ	13.0	[43, 13, 43]	O
8	These	O	2834.0	DET	3.0	[73, 31, 49, 69, 49]	O
8	trap	O	13923.0	NOUN	0.0	[67, 90, 26, 9]	O
8	came	O	1785.0	VERB	14.0	[0, 26, 72, 49]	O
8	from	O	5.0	ADP	4.0	[41, 90, 13, 72]	O
8	Taiwan	B	14801.0	PROPN	9.0	[73, 26, 32, 24, 26, 40]	B
8	.	O	13.0	PUNCT	8.0	[4]	O
9	Idiot	O	14801.0	PROPN	9.0	[36, 30, 32, 13, 67]	B
9	needs	O	3519.0	NOUN	0.0	[40, 49, 49, 30, 69]	O
9	to	O	35.0	ADP	4.0	[67, 13]	O
9	be	O	179.0	AUX	2.0	[22, 49]	O
9	punched	O	14801.0	VERB	14.0	[9, 50, 40, 0, 31, 49, 30]	O
9	in	O	91.0	ADP	4.0	[32, 40]	O
9	the	O	3.0	DET	3.0	[67, 31, 49]	O
9	throat	O	8794.0	NOUN	0.0	[67, 31, 90, 13, 26, 67]	O
9	,	O	61.0	PUNCT	8.0	[1]	O
9	he	O	1152.0	PRON	1.0	[31, 49]	O
9	has	O	228.0	AUX	2.0	[31, 26, 69]	O
9	no	O	150.0	INTJ	13.0	[40, 13]	O
9	business	O	4555.0	NOUN	0.0	[22, 50, 69, 32, 40, 49, 69, 69]	O
9	with	O	319.0	ADP	4.0	[24, 32, 67, 31]	O
9	a	O	74.0	DET	3.0	[26]	O
9	kitten	O	699.0	NOUN	0.0	[2, 32, 67, 67, 49, 40]	O
9	or	O	414.0	CCONJ	16.0	[13, 90]	O
9	a	O	74.0	DET	3.0	[26]	O
9	baby	O	3932.0	NOUN	0.0	[22, 26, 22, 79]	O
9	,	O	61.0	PUNCT	8.0	[1]	O
9	a	O	74.0	DET	3.0	[26]	O
9	donkey	O	7871.0	NOUN	0.0	[30, 13, 40, 2, 49, 79]	O
9	punch	O	14801.0	NOUN	0.0	[9, 50, 40, 0, 31]	O
9	to	O	35.0	ADP	4.0	[67, 13]	O
9	the	O	3.0	DET	3.0	[67, 31, 49]	O
9	back	O	376.0	ADV	5.0	[22, 26, 0, 2]	O
9	of	O	45.0	ADP	4.0	[13, 41]	O
9	his	O	748.0	PRON	1.0	[31, 32, 69]	O
9	head	O	1110.0	NOUN	0.0	[31, 49, 26, 30]	O
9	is	O	52.0	AUX	2.0	[32, 69]	O
9	warranted	O	14801.0	VERB	14.0	[24, 26, 90, 90, 26, 40, 67, 49, 30]	O
9	as	O	248.0	ADV	5.0	[26, 69]	O
9	well	O	849.0	INTJ	13.0	[24, 49, 43, 43]	O
9	,	O	61.0	PUNCT	8.0	[1]	O
9	fucking	O	154.0	NOUN	0.0	[41, 50, 0, 2, 32, 40, 35]	O
9	moron	O	14801.0	NOUN	0.0	[72, 13, 90, 13, 40]	O
9	!	O	81.0	PUNCT	8.0	[65]	O
10	Mine	O	14801.0	PROPN	9.0	[88, 32, 40, 49]	B
10	is	O	52.0	AUX	2.0	[32, 69]	O
10	a	O	74.0	DET	3.0	[26]	O
10	skin	O	1998.0	NOUN	0.0	[69, 2, 32, 40]	O
10	product	O	14801.0	NOUN	0.0	[9, 90, 13, 30, 50, 0, 67]	O
10	but	O	92.0	CCONJ	16.0	[22, 50, 67]	O
10	I	O	7.0	PRON	1.0	[36]	O
10	never	O	1512.0	ADV	5.0	[40, 49, 33, 49, 90]	O
10	need	O	386.0	VERB	14.0	[40, 49, 49, 30]	O
10	any	O	346.0	DET	3.0	[26, 40, 79]	O
10	moisturizer	O	14801.0	NOUN	0.0	[72, 13, 32, 69, 67, 50, 90, 32, 3, 49, 90]	O
10	or	O	414.0	CCONJ	16.0	[13, 90]	O
10	primer	O	14801.0	NOUN	0.0	[9, 90, 32, 72, 49, 90]	O
10	in	O	91.0	ADP	4.0	[32, 40]	O
10	the	O	3.0	DET	3.0	[67, 31, 49]	O
10	morning	O	833.0	NOUN	0.0	[72, 13, 90, 40, 32, 40, 35]	O
10	.	O	13.0	PUNCT	8.0	[4]	O
10	It	O	1.0	PRON	1.0	[36, 67]	O
10	'	O	573.0	PUNCT	8.0	[74]	O
10	s	O	5354.0	PART	15.0	[69]	O
10	called	O	892.0	VERB	14.0	[0, 26, 43, 43, 49, 30]	O
10	HA	B	8616.0	PROPN	9.0	[54, 21]	B
10	5	I	37.0	X	6.0	[81]	O
10	.	O	13.0	PUNCT	8.0	[4]	O
10	It	O	1.0	PRON	1.0	[36, 67]	O
10	'	O	573.0	PUNCT	8.0	[74]	O
10	s	O	5354.0	PART	15.0	[69]	O
10	amazing	O	1058.0	ADJ	11.0	[26, 72, 26, 3, 32, 40, 35]	O
10	.	O	13.0	PUNCT	8.0	[4]	O
10	Takes	O	14801.0	NOUN	0.0	[73, 26, 2, 49, 69]	O
10	my	O	53.0	PRON	1.0	[72, 79]	O
10	dark	O	2969.0	ADJ	11.0	[30, 26, 90, 2]	O
10	circles	O	14801.0	NOUN	0.0	[0, 32, 90, 0, 43, 49, 69]	O
10	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
10	puffiness	O	14801.0	NOUN	0.0	[9, 50, 41, 41, 32, 40, 49, 69, 69]	O
10	away	O	428.0	ADV	5.0	[26, 24, 26, 79]	O
10	!	O	81.0	PUNCT	8.0	[65]	O
10	Makeup	O	14801.0	PROPN	9.0	[88, 26, 2, 49, 50, 9]	B
10	lays	O	14801.0	INTJ	13.0	[43, 26, 79, 69]	O
10	beautiful	O	3104.0	ADJ	11.0	[22, 49, 26, 50, 67, 32, 41, 50, 43]	O
10	over	O	1239.0	ADV	5.0	[13, 33, 49, 90]	O
10	it	O	70.0	PRON	1.0	[32, 67]	O
10	!	O	81.0	PUNCT	8.0	[65]	O
11	Had	O	2213.0	PROPN	9.0	[54, 26, 30]	O
11	to	O	35.0	ADP	4.0	[67, 13]	O
11	mute	O	14801.0	X	6.0	[72, 50, 67, 49]	O
11	this	O	204.0	PRON	1.0	[67, 31, 32, 69]	O
11	because	O	292.0	SCONJ	17.0	[22, 49, 0, 26, 50, 69, 49]	O
11	she	O	1525.0	PRON	1.0	[69, 31, 49]	O
11	sounds	O	3547.0	VERB	14.0	[69, 13, 50, 40, 30, 69]	O
11	so	O	79.0	ADV	5.0	[69, 13]	O
11	dumb	O	973.0	ADJ	11.0	[30, 50, 72, 22]	O
12	Warriors	B	14801.0	NOUN	0.0	[86, 26, 90, 90, 32, 13, 90, 69]	O
12	looked	O	4769.0	VERB	14.0	[43, 13, 13, 2, 49, 30]	O
12	a	O	74.0	DET	3.0	[26]	O
12	little	O	2394.0	ADJ	11.0	[43, 32, 67, 67, 43, 49]	O
12	bored	O	80.0	ADJ	11.0	[22, 13, 90, 49, 30]	O
12	,	O	61.0	PUNCT	8.0	[1]	O
12	gave	O	1285.0	VERB	14.0	[35, 26, 33, 49]	O
12	a	O	74.0	DET	3.0	[26]	O
12	c	O	1558.0	NOUN	0.0	[0]	O
12	plus	O	6240.0	CCONJ	16.0	[9, 43, 50, 69]	O
12	effort	O	6046.0	NOUN	0.0	[49, 41, 41, 13, 90, 67]	O
12	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
12	got	O	280.0	VERB	14.0	[35, 13, 67]	O
12	the	O	3.0	DET	3.0	[67, 31, 49]	O
12	win	O	911.0	VERB	14.0	[24, 32, 40]	O
12	.	O	13.0	PUNCT	8.0	[4]	O
12	.	O	13.0	PUNCT	8.0	[4]	O
12	.	O	13.0	PUNCT	8.0	[4]	O
12	This	O	86.0	PRON	1.0	[73, 31, 32, 69]	O
12	should	O	1018.0	AUX	2.0	[69, 31, 13, 50, 43, 30]	O
12	be	O	179.0	AUX	2.0	[22, 49]	O
12	short	O	1583.0	ADJ	11.0	[69, 31, 13, 90, 67]	O
12	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
12	sweet	O	2506.0	X	6.0	[69, 24, 49, 49, 67]	O
12	.	O	13.0	PUNCT	8.0	[4]	O
13	Wow	O	952.0	INTJ	13.0	[86, 13, 24]	O
13	smh	O	523.0	INTJ	13.0	[69, 72, 31]	O
13	envy	O	14801.0	NOUN	0.0	[49, 40, 33, 79]	O
13	nails	O	14801.0	NOUN	0.0	[40, 26, 32, 43, 69]	O
13	are	O	193.0	AUX	2.0	[26, 90, 49]	O
13	so	O	79.0	ADV	5.0	[69, 13]	O
13	clean	O	5630.0	ADJ	11.0	[0, 43, 49, 26, 40]	O
13	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
13	long	O	1145.0	ADV	5.0	[43, 13, 40, 35]	O
13	,	O	61.0	PUNCT	8.0	[1]	O
13	thought	O	1884.0	VERB	14.0	[67, 31, 13, 50, 35, 31, 67]	O
13	they	O	224.0	PRON	1.0	[67, 31, 49, 79]	O
13	were	O	225.0	AUX	2.0	[24, 49, 90, 49]	O
13	fake	O	7460.0	ADJ	11.0	[41, 26, 2, 49]	O
14	Everyday	O	14801.0	NOUN	0.0	[28, 33, 49, 90, 79, 30, 26, 79]	O
14	I	O	7.0	PRON	1.0	[36]	O
14	'	O	573.0	PUNCT	8.0	[74]	O
14	m	O	1876.0	NOUN	0.0	[72]	O
14	more	O	1816.0	ADJ	11.0	[72, 13, 90, 49]	O
14	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
14	more	O	1816.0	ADJ	11.0	[72, 13, 90, 49]	O
14	thankful	O	14801.0	X	6.0	[67, 31, 26, 40, 2, 41, 50, 43]	O
14	that	O	557.0	PRON	1.0	[67, 31, 26, 67]	O
14	Hillary	B	14801.0	PROPN	9.0	[54, 32, 43, 43, 26, 90, 79]	B
14	Clinton	I	14801.0	PROPN	9.0	[84, 43, 32, 40, 67, 13, 40]	I
14	will	O	426.0	AUX	2.0	[24, 32, 43, 43]	O
14	never	O	1512.0	ADV	5.0	[40, 49, 33, 49, 90]	O
14	be	O	179.0	AUX	2.0	[22, 49]	O
14	president	O	14801.0	PROPN	9.0	[9, 90, 49, 69, 32, 30, 49, 40, 67]	O
15	I	O	7.0	PRON	1.0	[36]	O
15	wo	O	14801.0	AUX	2.0	[24, 13]	O
15	n	O	489.0	PART	15.0	[40]	O
15	'	O	573.0	PUNCT	8.0	[74]	O
15	t	O	5427.0	NOUN	0.0	[67]	O
15	support	O	5673.0	NOUN	0.0	[69, 50, 9, 9, 13, 90, 67]	O
15	for	O	10.0	ADP	4.0	[41, 13, 90]	O
15	Donald	B	8881.0	PROPN	9.0	[77, 13, 40, 26, 43, 30]	B
15	trump	I	14801.0	NOUN	0.0	[67, 90, 50, 72, 9]	O
15	if	O	182.0	SCONJ	17.0	[32, 41]	O
15	I	O	7.0	PRON	1.0	[36]	O
15	get	O	165.0	VERB	14.0	[35, 49, 67]	O
15	5	O	37.0	X	6.0	[81]	O
15	likes	O	8154.0	INTJ	13.0	[43, 32, 2, 49, 69]	O
16	Ca	O	6428.0	AUX	2.0	[84, 26]	O
16	n	O	489.0	PART	15.0	[40]	O
16	'	O	573.0	PUNCT	8.0	[74]	O
16	t	O	5427.0	NOUN	0.0	[67]	O
16	watch	O	2221.0	VERB	14.0	[24, 26, 67, 0, 31]	O
16	this	O	204.0	PRON	1.0	[67, 31, 32, 69]	O
16	nearly	O	9269.0	ADV	5.0	[40, 49, 26, 90, 43, 79]	O
16	enough	O	917.0	ADV	5.0	[49, 40, 13, 50, 35, 31]	O
16	.	O	13.0	PUNCT	8.0	[4]	O
16	.	O	13.0	PUNCT	8.0	[4]	O
16	Much	O	14801.0	ADJ	11.0	[88, 50, 0, 31]	O
16	love	O	1010.0	NOUN	0.0	[43, 13, 33, 49]	O
16	to	O	35.0	ADP	4.0	[67, 13]	O
16	your	O	162.0	PRON	1.0	[79, 13, 50, 90]	O
16	lost	O	1899.0	VERB	14.0	[43, 13, 69, 67]	O
16	one	O	619.0	NUM	7.0	[13, 40, 49]	O
16	<	O	14801.0	PUNCT	8.0	[92]	O
16	3	O	64.0	X	6.0	[20]	O
17	I	O	7.0	PRON	1.0	[36]	O
17	'	O	573.0	PUNCT	8.0	[74]	O
17	m	O	1876.0	NOUN	0.0	[72]	O
17	getting	O	517.0	VERB	14.0	[35, 49, 67, 67, 32, 40, 35]	O
17	a	O	74.0	DET	3.0	[26]	O
17	garbage	O	14801.0	NOUN	0.0	[35, 26, 90, 22, 26, 35, 49]	O
17	,	O	61.0	PUNCT	8.0	[1]	O
17	Kylie	B	14801.0	PROPN	9.0	[56, 79, 43, 32, 49]	B
17	minogue	I	14801.0	INTJ	13.0	[72, 32, 40, 13, 35, 50, 49]	O
17	feel	O	2886.0	VERB	14.0	[41, 49, 49, 43]	O
17	.	O	13.0	PUNCT	8.0	[4]	O
17	.	O	13.0	PUNCT	8.0	[4]	O
17	.	O	13.0	PUNCT	8.0	[4]	O
17	I	O	7.0	PRON	1.0	[36]	O
17	love	O	1010.0	NOUN	0.0	[43, 13, 33, 49]	O
17	it	O	70.0	PRON	1.0	[32, 67]	O
18	thanks	O	2260.0	NOUN	0.0	[67, 31, 26, 40, 2, 69]	O
18	for	O	10.0	ADP	4.0	[41, 13, 90]	O
18	colors	O	13025.0	NOUN	0.0	[0, 13, 43, 13, 90, 69]	O
18	superheroes	O	14801.0	AUX	2.0	[69, 50, 9, 49, 90, 31, 49, 90, 13, 49, 69]	O
18	kids	O	602.0	NOUN	0.0	[2, 32, 30, 69]	O
18	videos	O	2478.0	NOUN	0.0	[33, 32, 30, 49, 13, 69]	O
18	!	O	81.0	PUNCT	8.0	[65]	O
18	)	O	102.0	PUNCT	8.0	[70]	O
18	Like	O	3916.0	INTJ	13.0	[47, 32, 2, 49]	O
18	learn	B	3394.0	VERB	14.0	[43, 49, 26, 90, 40]	O
18	Colors	I	14801.0	NOUN	0.0	[84, 13, 43, 13, 90, 69]	O
18	and	I	113.0	CCONJ	16.0	[26, 40, 30]	O
18	Numbers	I	14801.0	NOUN	0.0	[19, 50, 72, 22, 49, 90, 69]	O
18	!	O	81.0	PUNCT	8.0	[65]	O
18	)	O	102.0	PUNCT	8.0	[70]	O
18	💙	O	14801.0	SYM	10.0	[92]	O
18	💙	O	14801.0	SYM	10.0	[92]	O
18	💙	O	14801.0	SYM	10.0	[92]	O
19	12	O	5771.0	X	6.0	[29, 38]	O
19	:	O	29.0	PUNCT	8.0	[53]	O
19	46	O	14801.0	NUM	7.0	[51, 15]	O
19	is	O	52.0	AUX	2.0	[32, 69]	O
19	it	O	70.0	PRON	1.0	[32, 67]	O
19	just	O	93.0	ADV	5.0	[23, 50, 69, 67]	O
19	me	O	130.0	PRON	1.0	[72, 49]	O
19	who	O	96.0	PRON	1.0	[24, 31, 13]	O
19	thought	O	1884.0	VERB	14.0	[67, 31, 13, 50, 35, 31, 67]	O
19	that	O	557.0	PRON	1.0	[67, 31, 26, 67]	O
19	MaryJs	B	14801.0	PROPN	9.0	[88, 26, 90, 79, 27, 69]	B
19	protégé	O	14801.0	NOUN	0.0	[9, 90, 13, 67, 92, 35, 92]	O
19	look	O	1716.0	VERB	14.0	[43, 13, 13, 2]	O
19	alike	O	14801.0	INTJ	13.0	[26, 43, 32, 2, 49]	O
19	in	O	91.0	ADP	4.0	[32, 40]	O
19	the	O	3.0	DET	3.0	[67, 31, 49]	O
19	audience	O	14801.0	NOUN	0.0	[26, 50, 30, 32, 49, 40, 0, 49]	O
19	is	O	52.0	AUX	2.0	[32, 69]	O
19	a	O	74.0	DET	3.0	[26]	O
19	dude	O	1281.0	NOUN	0.0	[30, 50, 30, 49]	O
19	?	O	131.0	PUNCT	8.0	[55]	O
19	Sorry	O	2044.0	ADJ	11.0	[25, 13, 90, 90, 79]	O
19	if	O	182.0	SCONJ	17.0	[32, 41]	O
19	she	O	1525.0	PRON	1.0	[69, 31, 49]	O
19	ain	O	5316.0	ADV	5.0	[26, 32, 40]	O
19	'	O	573.0	PUNCT	8.0	[74]	O
19	t	O	5427.0	NOUN	0.0	[67]	O
19	.	O	13.0	PUNCT	8.0	[4]	O
20	Watched	O	2754.0	VERB	14.0	[86, 26, 67, 0, 31, 49, 30]	O
20	your	O	162.0	PRON	1.0	[79, 13, 50, 90]	O
20	video	O	876.0	NOUN	0.0	[33, 32, 30, 49, 13]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
20	Great	O	1727.0	ADJ	11.0	[12, 90, 49, 26, 67]	O
20	work	O	293.0	NOUN	0.0	[24, 13, 90, 2]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
20	Thumbs	O	14801.0	PROPN	9.0	[73, 31, 50, 72, 22, 69]	B
20	up	O	109.0	ADV	5.0	[50, 9]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
20	Welcome	O	2897.0	INTJ	13.0	[86, 49, 43, 0, 13, 72, 49]	O
20	to	O	35.0	ADP	4.0	[67, 13]	O
20	my	O	53.0	PRON	1.0	[72, 79]	O
20	channel	O	9768.0	NOUN	0.0	[0, 31, 26, 40, 40, 49, 43]	O
20	!	O	81.0	PUNCT	8.0	[65]	O
21	Kenny	B	14801.0	PROPN	9.0	[56, 49, 40, 40, 79]	B
21	,	O	61.0	PUNCT	8.0	[1]	O
21	you	O	156.0	PRON	1.0	[79, 13, 50]	O
21	need	O	386.0	VERB	14.0	[40, 49, 49, 30]	O
21	to	O	35.0	ADP	4.0	[67, 13]	O
21	get	O	165.0	VERB	14.0	[35, 49, 67]	O
21	back	O	376.0	ADV	5.0	[22, 26, 0, 2]	O
21	to	O	35.0	ADP	4.0	[67, 13]	O
21	your	O	162.0	PRON	1.0	[79, 13, 50, 90]	O
21	roots	O	14801.0	NOUN	0.0	[90, 13, 13, 67, 69]	O
21	.	O	13.0	PUNCT	8.0	[4]	O
21	This	O	86.0	PRON	1.0	[73, 31, 32, 69]	O
21	is	O	52.0	AUX	2.0	[32, 69]	O
21	crap	O	3143.0	NOUN	0.0	[0, 90, 26, 9]	O
21	.	O	13.0	PUNCT	8.0	[4]	O
21	Leave	O	13993.0	VERB	14.0	[47, 49, 26, 33, 49]	O
21	the	O	3.0	DET	3.0	[67, 31, 49]	O
21	politics	O	12298.0	NOUN	0.0	[9, 13, 43, 32, 67, 32, 0, 69]	O
21	to	O	35.0	ADP	4.0	[67, 13]	O
21	the	O	3.0	DET	3.0	[67, 31, 49]	O
21	politicians	O	14801.0	NOUN	0.0	[9, 13, 43, 32, 67, 32, 0, 32, 26, 40, 69]	O
21	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
21	start	O	913.0	VERB	14.0	[69, 67, 26, 90, 67]	O
21	producing	O	14801.0	VERB	14.0	[9, 90, 13, 30, 50, 0, 32, 40, 35]	O
21	country	O	4102.0	NOUN	0.0	[0, 13, 50, 40, 67, 90, 79]	O
21	music	O	3287.0	NOUN	0.0	[72, 50, 69, 32, 0]	O
21	again	O	68.0	ADV	5.0	[26, 35, 26, 32, 40]	O
21	!	O	81.0	PUNCT	8.0	[65]	O
22	hhaahaa	O	14801.0	NOUN	0.0	[31, 31, 26, 26, 31, 26, 26]	O
22	😂	O	14801.0	SYM	10.0	[92]	O
22	😂	O	14801.0	SYM	10.0	[92]	O
22	martin	B	14801.0	NOUN	0.0	[72, 26, 90, 67, 32, 40]	O
22	short	I	1583.0	ADJ	11.0	[69, 31, 13, 90, 67]	O
22	great	O	181.0	ADJ	11.0	[35, 90, 49, 26, 67]	O
22	!	O	81.0	PUNCT	8.0	[65]	O
23	not	O	556.0	PART	15.0	[40, 13, 67]	O
23	a	O	74.0	DET	3.0	[26]	O
23	Trump	B	8882.0	X	6.0	[73, 90, 50, 72, 9]	B
23	supporter	O	14801.0	NOUN	0.0	[69, 50, 9, 9, 13, 90, 67, 49, 90]	O
23	by	O	1361.0	ADP	4.0	[22, 79]	O
23	any	O	346.0	DET	3.0	[26, 40, 79]	O
23	meabs	O	14801.0	NOUN	0.0	[72, 49, 26, 22, 69]	O
23	but	O	92.0	CCONJ	16.0	[22, 50, 67]	O
23	she	O	1525.0	PRON	1.0	[69, 31, 49]	O
23	just	O	93.0	ADV	5.0	[23, 50, 69, 67]	O
23	sounds	O	3547.0	VERB	14.0	[69, 13, 50, 40, 30, 69]	O
23	like	O	141.0	INTJ	13.0	[43, 32, 2, 49]	O
23	a	O	74.0	DET	3.0	[26]	O
23	sore	O	11081.0	ADV	5.0	[69, 13, 90, 49]	O
23	looser	O	14801.0	NOUN	0.0	[43, 13, 13, 69, 49, 90]	O
23	.	O	13.0	PUNCT	8.0	[4]	O
23	like	O	141.0	INTJ	13.0	[43, 32, 2, 49]	O
23	a	O	74.0	DET	3.0	[26]	O
23	middle	O	1814.0	ADJ	11.0	[72, 32, 30, 30, 43, 49]	O
23	schooler	O	14801.0	NOUN	0.0	[69, 0, 31, 13, 13, 43, 49, 90]	O
23	who	O	96.0	PRON	1.0	[24, 31, 13]	O
23	got	O	280.0	VERB	14.0	[35, 13, 67]	O
23	chosen	O	1746.0	NOUN	0.0	[0, 31, 13, 69, 49, 40]	O
23	last	O	23.0	ADJ	11.0	[43, 26, 69, 67]	O
23	.	O	13.0	PUNCT	8.0	[4]	O
24	I	O	7.0	PRON	1.0	[36]	O
24	love	O	1010.0	NOUN	0.0	[43, 13, 33, 49]	O
24	the	O	3.0	DET	3.0	[67, 31, 49]	O
24	cute	O	2890.0	ADJ	11.0	[0, 50, 67, 49]	O
24	Lil	B	2695.0	PROPN	9.0	[47, 32, 43]	B
24	Darth	I	14801.0	PROPN	9.0	[77, 26, 90, 67, 31]	B
24	Vader	I	14801.0	PROPN	9.0	[62, 26, 30, 49, 90]	I
24	kitten	O	699.0	NOUN	0.0	[2, 32, 67, 67, 49, 40]	O
24	!	O	81.0	PUNCT	8.0	[65]	O
25	Feeling	O	3126.0	PROPN	9.0	[8, 49, 49, 43, 32, 40, 35]	O
25	to	O	35.0	ADP	4.0	[67, 13]	O
25	much	O	2170.0	ADV	5.0	[72, 50, 0, 31]	O
25	proud	O	5765.0	ADJ	11.0	[9, 90, 13, 50, 30]	O
